"filename", "language", "Rust", "pestfile", "comment", "blank", "total"
"d:\HuaweiMoveData\Users\Simon\Desktop\Extra\rust\MrMath\src\backend\bigint\fraction.rs", "Rust", 136, 0, 0, 36, 172
"d:\HuaweiMoveData\Users\Simon\Desktop\Extra\rust\MrMath\src\backend\bigint\matrix.rs", "Rust", 378, 0, 0, 58, 436
"d:\HuaweiMoveData\Users\Simon\Desktop\Extra\rust\MrMath\src\backend\bigint\mod.rs", "Rust", 534, 0, 6, 81, 621
"d:\HuaweiMoveData\Users\Simon\Desktop\Extra\rust\MrMath\src\backend\driver.rs", "Rust", 22, 0, 0, 3, 25
"d:\HuaweiMoveData\Users\Simon\Desktop\Extra\rust\MrMath\src\backend\interpreter\mod.rs", "Rust", 489, 0, 0, 25, 514
"d:\HuaweiMoveData\Users\Simon\Desktop\Extra\rust\MrMath\src\backend\mod.rs", "Rust", 5, 0, 0, 0, 5
"d:\HuaweiMoveData\Users\Simon\Desktop\Extra\rust\MrMath\src\backend\parser\mod.rs", "Rust", 380, 0, 35, 48, 463
"d:\HuaweiMoveData\Users\Simon\Desktop\Extra\rust\MrMath\src\backend\parser\token.pest", "pestfile", 0, 38, 6, 7, 51
"d:\HuaweiMoveData\Users\Simon\Desktop\Extra\rust\MrMath\src\backend\structure\ast.rs", "Rust", 170, 0, 13, 28, 211
"d:\HuaweiMoveData\Users\Simon\Desktop\Extra\rust\MrMath\src\backend\structure\mod.rs", "Rust", 1, 0, 0, 0, 1
"d:\HuaweiMoveData\Users\Simon\Desktop\Extra\rust\MrMath\src\frontend\help.rs", "Rust", 8, 0, 0, 0, 8
"d:\HuaweiMoveData\Users\Simon\Desktop\Extra\rust\MrMath\src\frontend\history.rs", "Rust", 15, 0, 0, 3, 18
"d:\HuaweiMoveData\Users\Simon\Desktop\Extra\rust\MrMath\src\frontend\mod.rs", "Rust", 3, 0, 0, 0, 3
"d:\HuaweiMoveData\Users\Simon\Desktop\Extra\rust\MrMath\src\frontend\service.rs", "Rust", 24, 0, 2, 3, 29
"d:\HuaweiMoveData\Users\Simon\Desktop\Extra\rust\MrMath\src\hello.rs", "Rust", 17, 0, 1, 3, 21
"d:\HuaweiMoveData\Users\Simon\Desktop\Extra\rust\MrMath\src\main.rs", "Rust", 8, 0, 0, 1, 9
"Total", "-", 2190, 38, 63, 296, 2587
